Machines: 1, Execution: 217.60999999999999, Acceleration: 1.0000000000000002, Efficiency: 1.0000000000000002
Machines: 2, Execution: 106.02999999999999, Acceleration: 2.0523436763180234, Efficiency: 1.0261718381590117
Machines: 3, Execution: 67.21, Acceleration: 3.2377622377622384, Efficiency: 1.0792540792540795
Machines: 4, Execution: 50.03, Acceleration: 4.349590245852489, Efficiency: 1.0873975614631222
Machines: 5, Execution: 38.910000000000004, Acceleration: 5.592649704446158, Efficiency: 1.1185299408892315
Machines: 6, Execution: 31.54, Acceleration: 6.899492707672797, Efficiency: 1.1499154512787995
Machines: 7, Execution: 23.779999999999998, Acceleration: 9.150967199327168, Efficiency: 1.3072810284753096
Machines: 8, Execution: 21.98, Acceleration: 9.90036396724295, Efficiency: 1.2375454959053687
Machines: 9, Execution: 19.689999999999998, Acceleration: 11.051802945657696, Efficiency: 1.2279781050730774
Machines: 10, Execution: 16.09, Acceleration: 13.524549409571163, Efficiency: 1.3524549409571163
Machines: 11, Execution: 12.25, Acceleration: 17.764081632653063, Efficiency: 1.6149165120593694
Machines: 12, Execution: 11.78, Acceleration: 18.472835314091682, Efficiency: 1.5394029428409735
Machines: 13, Execution: 11.459999999999999, Acceleration: 18.988656195462482, Efficiency: 1.4606658611894217
Machines: 14, Execution: 10.76, Acceleration: 20.22397769516729, Efficiency: 1.4445698353690921
Machines: 15, Execution: 10.08, Acceleration: 21.588293650793652, Efficiency: 1.4392195767195768
Machines: 16, Execution: 9.37, Acceleration: 23.224119530416225, Efficiency: 1.451507470651014
Machines: 17, Execution: 8.49, Acceleration: 25.63133097762073, Efficiency: 1.5077253516247489
Machines: 18, Execution: 7.5, Acceleration: 29.014666666666667, Efficiency: 1.611925925925926
Machines: 19, Execution: 6.32, Acceleration: 34.43196202531646, Efficiency: 1.8122085276482347
Machines: 20, Execution: 4.38, Acceleration: 49.68264840182649, Efficiency: 2.4841324200913246
