Machines: 1, Execution: 217.61, Acceleration: 1.0, Efficiency: 1.0
Machines: 2, Execution: 116.42000000000002, Acceleration: 1.8691805531695584, Efficiency: 0.9345902765847792
Machines: 3, Execution: 82.69000000000001, Acceleration: 2.6316362317087916, Efficiency: 0.8772120772362638
Machines: 4, Execution: 65.825, Acceleration: 3.305886821116597, Efficiency: 0.8264717052791493
Machines: 5, Execution: 55.706, Acceleration: 3.9064014648332317, Efficiency: 0.7812802929666464
Machines: 6, Execution: 48.96000000000001, Acceleration: 4.444648692810457, Efficiency: 0.7407747821350762
Machines: 7, Execution: 44.14142857142858, Acceleration: 4.929835917019968, Efficiency: 0.7042622738599954
Machines: 8, Execution: 40.5275, Acceleration: 5.369440503361915, Efficiency: 0.6711800629202394
Machines: 9, Execution: 37.71666666666667, Acceleration: 5.769597878921785, Efficiency: 0.6410664309913094
Machines: 10, Execution: 35.468, Acceleration: 6.135389647005751, Efficiency: 0.6135389647005751
Machines: 11, Execution: 33.62818181818182, Acceleration: 6.471060528236598, Efficiency: 0.5882782298396907
Machines: 12, Execution: 32.095, Acceleration: 6.780183829256894, Efficiency: 0.5650153191047412
Machines: 13, Execution: 30.79769230769231, Acceleration: 7.065789145040838, Efficiency: 0.5435222419262182
Machines: 14, Execution: 29.68571428571429, Acceleration: 7.330461982675649, Efficiency: 0.5236044273339749
Machines: 15, Execution: 28.722, Acceleration: 7.576422254717638, Efficiency: 0.5050948169811759
Machines: 16, Execution: 27.878750000000004, Acceleration: 7.805586692373223, Efficiency: 0.4878491682733264
Machines: 17, Execution: 27.134705882352943, Acceleration: 8.019618894838388, Efficiency: 0.4717422879316699
Machines: 18, Execution: 26.473333333333336, Acceleration: 8.219969780911608, Efficiency: 0.4566649878284227
Machines: 19, Execution: 25.881578947368425, Acceleration: 8.40791052364006, Efficiency: 0.4425216065073716
Machines: 20, Execution: 25.349000000000004, Acceleration: 8.584559548700145, Efficiency: 0.4292279774350073
