Machines: 1, Execution: 262.389242425, Acceleration: 1.0, Efficiency: 1.0
Machines: 2, Execution: 138.952007907, Acceleration: 1.8883443742721304, Efficiency: 0.9441721871360652
Machines: 3, Execution: 89.790162258, Acceleration: 2.92224934031258, Efficiency: 0.9740831134375267
Machines: 4, Execution: 71.735317806, Acceleration: 3.65774140897517, Efficiency: 0.9144353522437925
Machines: 5, Execution: 59.688962776, Acceleration: 4.395942402445342, Efficiency: 0.8791884804890685
Machines: 6, Execution: 49.158220867, Acceleration: 5.3376472499870795, Efficiency: 0.8896078749978468
Machines: 7, Execution: 44.143535575, Acceleration: 5.944001517032996, Efficiency: 0.8491430738618565
Machines: 8, Execution: 41.626480305, Acceleration: 6.303421295830359, Efficiency: 0.7879276619787948
Machines: 9, Execution: 39.121734354, Acceleration: 6.706994123796356, Efficiency: 0.7452215693107063
Machines: 10, Execution: 31.6007191, Acceleration: 8.303268086864518, Efficiency: 0.8303268086864518
Machines: 11, Execution: 32.599304807, Acceleration: 8.048921410393314, Efficiency: 0.731720128217574
Machines: 12, Execution: 33.602844291, Acceleration: 7.808542638614581, Efficiency: 0.650711886551215
Machines: 13, Execution: 33.606020622, Acceleration: 7.807804600739556, Efficiency: 0.6006003539030428
Machines: 14, Execution: 30.095625758, Acceleration: 8.718517585740907, Efficiency: 0.6227512561243506
Machines: 15, Execution: 28.082027109, Acceleration: 9.343671715953404, Efficiency: 0.622911447730227
Machines: 16, Execution: 26.583847049, Acceleration: 9.870250981408287, Efficiency: 0.6168906863380179
Machines: 17, Execution: 24.572138343, Acceleration: 10.678323504545476, Efficiency: 0.6281366767379691
Machines: 18, Execution: 26.583260078, Acceleration: 9.870468921234771, Efficiency: 0.5483593845130429
Machines: 19, Execution: 20.056873119, Acceleration: 13.082260672848205, Efficiency: 0.6885400354130634
Machines: 20, Execution: 19.56018481, Acceleration: 13.414456201398234, Efficiency: 0.6707228100699117
