Machines: 1, Execution: 217.61, Acceleration: 1.0000000000000002, Efficiency: 1.0000000000000002
Machines: 2, Execution: 116.42000000000002, Acceleration: 0.5349937962409816, Efficiency: 0.2674968981204908
Machines: 3, Execution: 82.69000000000001, Acceleration: 0.37999172832130884, Efficiency: 0.1266639094404363
Machines: 4, Execution: 65.825, Acceleration: 0.3024906943614724, Efficiency: 0.0756226735903681
Machines: 5, Execution: 55.706, Acceleration: 0.25599007398557055, Efficiency: 0.05119801479711411
Machines: 6, Execution: 48.96000000000001, Acceleration: 0.224989660401636, Efficiency: 0.037498276733606
Machines: 7, Execution: 44.14142857142858, Acceleration: 0.20284650784168273, Efficiency: 0.02897807254881182
Machines: 8, Execution: 40.5275, Acceleration: 0.18623914342171777, Efficiency: 0.02327989292771472
Machines: 9, Execution: 37.71666666666667, Acceleration: 0.1733223044284117, Efficiency: 0.01925803382537908
Machines: 10, Execution: 35.468, Acceleration: 0.16298883323376687, Efficiency: 0.016298883323376687
Machines: 11, Execution: 33.62818181818182, Acceleration: 0.1545341749836029, Efficiency: 0.014048561362145717
Machines: 12, Execution: 32.095, Acceleration: 0.14748862644179955, Efficiency: 0.012290718870149963
Machines: 13, Execution: 30.79769230769231, Acceleration: 0.14152700844488908, Efficiency: 0.01088669295729916
Machines: 14, Execution: 29.68571428571429, Acceleration: 0.13641705016182296, Efficiency: 0.009744075011558783
Machines: 15, Execution: 28.722, Acceleration: 0.1319884196498323, Efficiency: 0.008799227976655487
Machines: 16, Execution: 27.878750000000004, Acceleration: 0.12811336795184047, Efficiency: 0.00800708549699003
Machines: 17, Execution: 27.134705882352943, Acceleration: 0.1246942046889065, Efficiency: 0.0073349532169945005
Machines: 18, Execution: 26.473333333333336, Acceleration: 0.12165494845518744, Efficiency: 0.006758608247510413
Machines: 19, Execution: 25.881578947368425, Acceleration: 0.1189356139302809, Efficiency: 0.006259769154225311
Machines: 20, Execution: 25.349000000000004, Acceleration: 0.11648821285786501, Efficiency: 0.00582441064289325
